"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/11/2020","AirNow","060690002","3","1.2","ug/m3 LC","5","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/12/2020","AirNow","060690002","3","5.1","ug/m3 LC","21","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/13/2020","AirNow","060690002","3","7.9","ug/m3 LC","33","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/14/2020","AirNow","060690002","3","4.4","ug/m3 LC","18","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/15/2020","AirNow","060690002","3","0.9","ug/m3 LC","4","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/16/2020","AirNow","060690002","3","2.6","ug/m3 LC","11","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/17/2020","AirNow","060690002","3","2.3","ug/m3 LC","10","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/18/2020","AirNow","060690002","3","3.1","ug/m3 LC","13","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/19/2020","AirNow","060690002","3","3.7","ug/m3 LC","15","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/20/2020","AirNow","060690002","3","3.2","ug/m3 LC","13","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/21/2020","AirNow","060690002","3","2.7","ug/m3 LC","11","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/22/2020","AirNow","060690002","3","3.8","ug/m3 LC","16","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/23/2020","AirNow","060690002","3","3.6","ug/m3 LC","15","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/24/2020","AirNow","060690002","3","3.5","ug/m3 LC","15","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/25/2020","AirNow","060690002","3","1.7","ug/m3 LC","7","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/27/2020","AirNow","060690002","3","5.5","ug/m3 LC","23","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/28/2020","AirNow","060690002","3","9.5","ug/m3 LC","40","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/29/2020","AirNow","060690002","3","4.9","ug/m3 LC","20","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/30/2020","AirNow","060690002","3","2.4","ug/m3 LC","10","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"03/31/2020","AirNow","060690002","3","4.3","ug/m3 LC","18","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/01/2020","AirNow","060690002","3","4.7","ug/m3 LC","20","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/02/2020","AirNow","060690002","3","4.2","ug/m3 LC","18","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/03/2020","AirNow","060690002","3","3.9","ug/m3 LC","16","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/04/2020","AirNow","060690002","3","2.7","ug/m3 LC","11","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/05/2020","AirNow","060690002","3","1.1","ug/m3 LC","5","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/06/2020","AirNow","060690002","3","1.9","ug/m3 LC","8","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/08/2020","AirNow","060690002","3","5","ug/m3 LC","21","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/09/2020","AirNow","060690002","3","2.3","ug/m3 LC","10","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/10/2020","AirNow","060690002","3","4.1","ug/m3 LC","17","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/11/2020","AirNow","060690002","3","6.1","ug/m3 LC","25","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/12/2020","AirNow","060690002","3","4.6","ug/m3 LC","19","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/13/2020","AirNow","060690002","3","8.4","ug/m3 LC","35","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/14/2020","AirNow","060690002","3","7.3","ug/m3 LC","30","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/15/2020","AirNow","060690002","3","5.9","ug/m3 LC","25","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/16/2020","AirNow","060690002","3","4.1","ug/m3 LC","17","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/17/2020","AirNow","060690002","3","3.7","ug/m3 LC","15","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"04/18/2020","AirNow","060690002","3","5.7","ug/m3 LC","24","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
